id,type,month,date,year
1,Overseas,09,30,1919
2,Domestic,06,11,1919
3,Domestic,12,30,1918
4,Overseas,07,24,1919
5,Overseas,06,29,1919
6,Overseas,07,24,1919
7,Domestic,03,18,1918
8,Domestic,07,12,1919
9,Overseas,03,06,1919
10,Domestic,05,24,1919
11,Overseas,03,03,1919
12,Overseas,02,28,1919
13,Overseas,02,28,1919
14,Domestic,01,31,1918
15,Overseas,07,09,1919
16,Overseas,07,08,1919
17,Overseas,03,19,1919
18,Domestic,12,30,1918
19,Domestic,12,30,1918
20,Domestic,08,18,1919
21,Domestic,08,12,1919
22,Domestic,08,18,1919
23,Overseas,03,12,1919
24,Overseas,07,02,1919
25,Overseas,07,11,1919
26,Overseas,08,12,1919
27,Overseas,03,06,1919
28,Overseas,03,11,1919
29,Overseas,06,27,1919
30,Overseas,07,11,1919
31,Overseas,11,02,1919
32,Domestic,01,30,1919
33,Domestic,11,01,1918
34,Domestic,09,28,1918
35,Domestic,06,08,1918
36,Overseas,02,27,1919
37,Overseas,03,16,1919
38,Overseas,04,04,1919
39,Overseas,03,11,1919
40,Overseas,04,04,1919
41,Overseas,03,20,1919
42,Overseas,03,20,1919
43,Overseas,04,04,1919
44,Overseas,05,06,1919
45,Overseas,05,07,1919
46,Overseas,07,08,1919
47,Overseas,08,01,1919
48,Overseas,06,23,1919
49,Overseas,06,23,1919
50,Overseas,06,25,1919
51,Overseas,07,10,1919
52,Overseas,07,11,1919
53,Overseas,07,11,1919
54,Overseas,06,27,1919
55,Overseas,07,07,1919
56,Overseas,07,07,1919
57,Overseas,07,18,1919
58,Overseas,07,22,1919
59,Overseas,03,22,1919
60,Domestic,09,26,1918
61,Domestic,05,28,1918
62,Overseas,04,09,1919
63,Overseas,07,21,1919
64,Overseas,07,21,1919
65,Overseas,06,17,1919
66,Overseas,11,26,1919
67,Overseas,07,10,1919
68,Overseas,07,15,1919
69,Overseas,07,19,1919
70,Overseas,07,19,1919
71,Overseas,07,23,1919
72,Overseas,07,23,1919
73,Overseas,10,07,1919
74,Domestic,11,06,1918
75,Domestic,06,21,1918
76,Overseas,03,19,1919
77,Overseas,05,06,1919
78,Overseas,07,20,1919
79,Domestic,01,14,1919
80,Domestic,01,21,1919
81,Domestic,06,27,1918
82,Domestic,06,25,1918
83,Overseas,02,27,1919
84,Overseas,03,13,1919
85,Overseas,05,09,1919
86,Overseas,05,06,1919
87,Overseas,06,04,1919
88,Overseas,07,07,1919
89,Overseas,08,14,1919
90,Overseas,06,25,1919
91,Overseas,07,21,1919
92,Overseas,03,13,1919
93,Overseas,03,11,1919
94,Overseas,03,12,1919
95,Overseas,03,12,1919
96,Overseas,03,13,1919
97,Overseas,03,08,1919
98,Overseas,07,22,1919
99,Overseas,07,17,1919
100,Overseas,07,18,1919
101,Overseas,07,18,1919
102,Overseas,06,17,1918
103,Overseas,07,10,1919
104,Overseas,07,28,1919
105,Overseas,07,12,1919
106,Overseas,03,29,1919
107,Domestic,02,10,1919
108,Domestic,09,26,1919
109,Overseas,04,17,1919
110,Domestic,11,06,1918
111,Domestic,03,11,1920
112,Overseas,03,04,1919
113,Domestic,03,11,1919
114,Domestic,01,02,1919
115,Domestic,01,11,1919
116,Domestic,01,15,1919
117,Domestic,03,26,1919
118,Domestic,07,02,1918
119,Overseas,03,11,1919
120,Overseas,03,13,1919
121,Overseas,06,26,1919
122,Overseas,08,15,1919
123,Overseas,10,07,1919
124,Domestic,01,25,1919
125,Overseas,03,19,1919
126,Overseas,03,19,1919
127,Overseas,03,11,1919
128,Overseas,03,11,1919
129,Overseas,03,20,1919
130,Overseas,04,10,1919
131,Overseas,04,28,1919
132,Overseas,07,17,1919
133,Overseas,11,26,1919
134,Domestic,06,14,1918
135,Domestic,01,01,1919
136,Domestic,01,11,1919
137,Domestic,01,21,1919
138,Domestic,06,26,1919
139,Domestic,11,01,1918
140,Domestic,09,30,1918
141,Domestic,11,01,1918
142,Domestic,11,29,1918
143,Domestic,10,23,1918
144,Domestic,06,21,1918
145,Domestic,09,27,1918
146,Domestic,07,06,1918
147,Overseas,03,11,1919
148,Overseas,03,11,1919
149,Overseas,03,12,1919
150,Overseas,03,12,1919
151,Overseas,03,12,1919
152,Overseas,03,19,1919
153,Overseas,03,20,1919
154,Overseas,03,20,1919
155,Overseas,07,28,1919
156,Overseas,07,17,1919
157,Overseas,08,17,1919
158,Overseas,08,15,1919
159,Overseas,08,14,1919
160,Overseas,08,14,1919
161,Domestic,12,27,1918
162,Domestic,12,27,1918
163,Domestic,01,17,1919
164,Domestic,01,22,1919
165,Domestic,03,14,1919
166,Domestic,03,14,1919
167,Domestic,07,29,1919
168,Domestic,07,24,1918
169,Overseas,03,06,1919
170,Overseas,03,15,1919
171,Overseas,04,08,1919
172,Overseas,05,12,1919
173,Overseas,07,27,1919
174,Overseas,09,01,1919
175,Overseas,07,18,1919
176,Overseas,07,18,1919
177,Overseas,07,18,1919
178,Overseas,07,18,1919
179,Overseas,07,18,1919
180,Overseas,07,18,1919
181,Overseas,08,26,1919
182,Overseas,09,25,1919
183,Overseas,09,25,1919
184,Overseas,09,25,1919
185,Overseas,09,25,1919
186,Overseas,09,02,1919
187,Domestic,12,20,1918
188,Domestic,12,24,1918
189,Domestic,12,24,1918
190,Domestic,12,28,1918
191,Domestic,03,14,1919
192,Domestic,03,19,1919
193,Domestic,03,22,1919
194,Domestic,07,07,1918
195,Overseas,04,21,1919
196,Overseas,07,27,1919
197,Overseas,08,26,1919
198,Overseas,08,27,1919
199,Overseas,07,18,1919
200,Overseas,09,02,1919
201,Overseas,09,05,1919
202,Overseas,10,07,1919
203,Domestic,12,23,1918
204,Domestic,12,23,1918
205,Domestic,01,02,1919
206,Overseas,07,07,1919
207,Overseas,07,11,1919
208,Overseas,07,26,1919
209,Domestic,12,28,1918
210,Overseas,07,11,1919
211,Overseas,09,25,1919
212,Domestic,03,17,1919
213,Domestic,03,10,1919
214,Domestic,12,23,1918
215,Domestic,01,06,1919
216,Overseas,07,25,1919
217,Overseas,09,02,1919
218,Overseas,07,08,1919
219,Domestic,01,13,1919
220,Overseas,07,11,1919
221,Domestic,09,06,1918
222,Domestic,12,20,1918
223,Overseas,06,13,1919
224,Overseas,06,13,1919
225,Domestic,08,15,1918
226,Domestic,04,24,1919
227,Overseas,07,15,1919
228,Domestic,08,20,1918
229,Domestic,12,18,1918
230,Domestic,12,19,1918
231,Domestic,12,28,1918
232,Domestic,06,10,1919
233,Overseas,06,13,1919
234,Overseas,07,09,1919
235,Overseas,07,16,1919
236,Overseas,07,21,1919
237,Overseas,07,21,1919
238,Overseas,07,24,1919
239,Domestic,11,29,1918
240,Domestic,04,05,1919
241,Domestic,05,23,1919
242,Overseas,02,27,1919
243,Overseas,05,12,1919
244,Overseas,07,10,1919
245,Overseas,06,13,1919
246,Overseas,06,13,1919
247,Overseas,06,13,1919
248,Overseas,06,13,1919
249,Overseas,06,13,1919
250,Overseas,07,24,1919
251,Overseas,06,13,1919
252,Overseas,08,22,1919
253,Domestic,04,03,1919
254,Domestic,12,03,1918
255,Overseas,07,23,1919
256,Overseas,03,06,1919
257,Overseas,07,26,1919
258,Overseas,03,29,1919
259,Overseas,09,11,1919
260,Domestic,03,03,1919
261,Domestic,12,13,1918
262,Domestic,02,15,1919
263,Overseas,08,11,1919
264,Domestic,12,21,1918
265,Domestic,12,07,1918
266,Domestic,12,13,1918
267,Domestic,11,11,1918
268,Overseas,07,03,1919
269,Overseas,07,04,1919
270,Overseas,07,06,1919
271,Overseas,07,08,1919
272,Overseas,07,22,1919
273,Overseas,08,21,1919
274,Overseas,07,21,1919
275,Domestic,10,02,1918
276,Domestic,12,19,1918
277,Domestic,01,11,1919
278,Domestic,06,18,1919
279,Overseas,04,21,1919
280,Overseas,08,06,1919
281,Overseas,08,26,1919
282,Domestic,10,29,1918
283,Domestic,12,28,1918
284,Domestic,03,08,1919
285,Domestic,03,27,1919
286,Domestic,04,14,1919
287,Domestic,06,11,1919
288,Domestic,10,11,1918
289,Overseas,03,03,1919
290,Overseas,10,31,1919
291,Overseas,07,13,1919
292,Overseas,07,19,1919
293,Overseas,12,18,1919
294,Domestic,12,10,1918
295,Domestic,12,19,1918
296,Domestic,01,14,1919
297,Domestic,02,28,1919
298,Domestic,03,26,1919
299,Domestic,05,02,1919
300,Domestic,05,22,1919
301,Domestic,05,22,1919
302,Domestic,05,24,1919
303,Domestic,06,18,1919
304,Domestic,09,14,1918
305,Overseas,01,08,1919
306,Overseas,05,09,1919
307,Overseas,07,12,1919
308,Overseas,07,12,1919
309,Overseas,08,05,1919
310,Overseas,07,09,1919
311,Overseas,07,09,1919
312,Overseas,06,27,1919
313,Overseas,07,03,1919
314,Overseas,07,04,1919
315,Overseas,07,06,1919
316,Overseas,07,07,1919
317,Overseas,07,08,1919
318,Overseas,07,13,1919
319,Overseas,07,13,1919
320,Overseas,07,26,1919
321,Overseas,07,25,1919
322,Overseas,07,14,1919
323,Overseas,07,14,1919
324,Overseas,07,12,1919
325,Overseas,07,24,1919
326,Domestic,12,17,1918
327,Domestic,09,03,1918
328,Overseas,07,12,1919
329,Overseas,07,12,1919
330,Overseas,06,28,1919
331,Overseas,07,04,1919
332,Overseas,07,21,1919
333,Domestic,08,15,1919
334,Overseas,07,19,1919
335,Domestic,12,31,1918
336,Overseas,01,14,1919
337,Overseas,08,11,1919
338,Domestic,12,04,1918
339,Domestic,03,15,1919
340,Overseas,07,24,1919
341,Domestic,12,10,1918
342,Domestic,12,13,1918
343,Domestic,12,14,1918
344,Domestic,12,19,1918
345,Domestic,12,28,1918
346,Domestic,03,08,1919
347,Domestic,03,08,1919
348,Overseas,07,15,1919
349,Overseas,07,19,1919
350,Overseas,07,19,1919
351,Overseas,07,19,1919
352,Overseas,07,20,1919
353,Overseas,07,20,1919
354,Domestic,12,12,1918
355,Domestic,12,12,1918
356,Domestic,12,16,1918
357,Domestic,12,18,1918
358,Domestic,12,28,1918
359,Domestic,02,13,1919
360,Domestic,04,15,1919
361,Domestic,05,23,1919
362,Domestic,07,10,1919
363,Overseas,01,14,1919
364,Overseas,07,19,1919
365,Overseas,07,19,1919
366,Domestic,12,10,1918
367,Domestic,12,12,1918
368,Domestic,12,20,1918
369,Domestic,12,20,1918
370,Domestic,01,02,1919
371,Domestic,03,03,1919
372,Domestic,04,15,1919
373,Overseas,03,11,1919
374,Overseas,07,15,1919
375,Overseas,08,11,1919
376,Overseas,07,19,1919
377,Domestic,12,17,1918
378,Domestic,12,19,1918
379,Domestic,12,28,1918
380,Domestic,02,13,1919
381,Domestic,03,03,1919
382,Overseas,07,15,1919
383,Overseas,08,11,1919
384,Overseas,07,19,1919
385,Overseas,07,19,1919
386,Overseas,07,19,1919
387,Overseas,07,20,1919
388,Domestic,12,19,1918
389,Domestic,12,26,1918
390,Domestic,02,15,1919
391,Domestic,03,05,1919
392,Domestic,03,08,1919
393,Overseas,06,25,1919
394,Overseas,06,26,1919
395,Overseas,07,18,1919
396,Overseas,07,22,1919
397,Domestic,12,04,1918
398,Domestic,12,10,1918
399,Domestic,01,04,1919
400,Domestic,03,04,1919
401,Domestic,03,05,1919
402,Domestic,03,05,1919
403,Overseas,07,15,1919
404,Overseas,07,15,1919
405,Overseas,07,15,1919
406,Overseas,04,07,1921
407,Domestic,12,03,1918
408,Domestic,04,15,1919
409,Domestic,12,06,1918
410,Overseas,07,21,1919
411,Domestic,12,27,1918
412,Domestic,12,27,1918
413,Domestic,12,31,1918
414,Domestic,12,11,1918
415,Domestic,01,21,1919
416,Overseas,07,16,1919
417,Domestic,12,10,1918
418,Domestic,12,10,1918
419,Domestic,12,10,1918
420,Domestic,12,10,1918
421,Domestic,12,11,1918
422,Domestic,12,24,1918
423,Domestic,12,25,1918
424,Domestic,12,25,1918
425,Domestic,06,28,1919
426,Domestic,12,10,1918
427,Domestic,12,10,1918
428,Domestic,12,10,1918
429,Domestic,12,10,1918
430,Domestic,12,10,1918
431,Domestic,12,12,1918
432,Domestic,12,12,1918
433,Domestic,12,17,1918
434,Domestic,12,17,1918
435,Domestic,12,24,1918
436,Domestic,01,03,1919
437,Domestic,01,18,1919
438,Domestic,01,21,1919
439,Domestic,03,04,1919
440,Domestic,03,05,1919
441,Domestic,04,03,1919
442,Domestic,04,03,1919
443,Domestic,04,03,1919
444,Domestic,04,03,1919
445,Domestic,04,03,1919
446,Domestic,04,15,1919
447,Domestic,04,25,1919
448,Overseas,07,16,1919
449,Overseas,08,12,1919
