id,type,month,date,year
242,Drafted,4,26,18
243,Drafted,4,27,18
244,Drafted,4,2,18
245,Drafted,3,29,18
246,Volunteered,1,2,18
247,Drafted,4,26,18
248,Drafted,4,27,18
249,Drafted,4,27,18
250,Drafted,4,17,18
251,Drafted,4,26,18
252,Drafted,4,25,18
253,Drafted,4,27,18
254,Drafted,4,27,18
255,Drafted,4,26,18
256,Drafted,4,27,18
257,Drafted,4,29,18
258,Drafted,4,26,18
259,Drafted,4,26,18
260,Drafted,4,27,18
261,Drafted,4,27,18
262,Drafted,4,16,18
263,Drafted,4,10,18
264,Volunteered,10,15,17
265,Drafted,3,29,18
266,Drafted,3,13,18
267,Drafted,2,24,18
268,Volunteered,8,27,17
269,Drafted,4,30,18
270,Volunteered,11,28,17
271,Regular Army,7,24,17
272,Drafted,4,30,18
273,Drafted,2,13,18
274,Drafted,3,28,18
275,Drafted,3,29,18
276,Drafted,3,29,18
277,Drafted,4,27,18
278,Drafted,4,25,18
279,Drafted,4,27,18
280,Drafted,4,27,18
281,Drafted,4,25,18
282,Drafted,4,27,18
283,Drafted,4,2,18
284,Drafted,4,26,18
285,Drafted,4,27,18
286,Drafted,4,1,18
287,Drafted,3,30,18
288,Drafted,3,30,18
289,Drafted,4,1,18
290,Drafted,4,25,18
291,Drafted,4,27,18
292,Drafted,4,27,18
293,Drafted,4,2,18
294,Drafted,4,27,18
295,Drafted,4,2,18
296,Drafted,3,30,18
297,Drafted,4,27,18
298,Drafted,4,26,18
299,Drafted,4,27,18
300,Drafted,6,10,18
301,Drafted,4,26,18
302,Drafted,3,30,18
303,Drafted,4,25,18
304,Drafted,3,30,18
305,Drafted,3,30,18
306,Drafted,4,1,18
307,Drafted,4,20,18
308,Drafted,4,27,18
309,Drafted,4,27,18
310,Drafted,4,27,18
311,Drafted,4,25,18
312,Drafted,4,25,18
313,Drafted,4,25,18
314,Drafted,4,25,18
315,Drafted,4,27,18
316,Drafted,4,26,18
317,Drafted,4,29,18
318,Drafted,4,27,18
319,Drafted,6,13,18
320,Drafted,5,4,18
321,Drafted,6,4,18
322,Drafted,5,4,18
323,Drafted,5,9,18
324,Drafted,5,18,18
325,Drafted,6,14,18
326,Drafted,6,17,18
327,Drafted,4,29,18
328,Drafted,3,28,18
329,Drafted,7,15,18
330,Drafted,4,29,18
331,Drafted,4,29,18
332,Drafted,4,29,18
333,Drafted,4,29,18
334,Drafted,4,25,18
335,Drafted,4,29,18
336,Drafted,4,30,18
337,Drafted,4,30,18
338,Drafted,4,30,18
339,Drafted,4,2,18
340,Drafted,4,29,18
341,Drafted,4,30,18
342,Drafted,4,29,18
343,Drafted,4,29,18
344,Drafted,4,29,18
345,Drafted,4,30,18
346,Drafted,4,30,18
347,Drafted,4,30,18
348,Drafted,4,30,18
349,Volunteered,9,19,17
350,Drafted,4,29,18
351,Drafted,4,29,18
352,Drafted,4,29,18
353,Drafted,4,29,18
354,Drafted,4,29,18
355,Drafted,4,30,18
356,Drafted,4,17,18
357,Drafted,4,29,18
358,Drafted,4,29,18
359,Drafted,4,29,18
360,Drafted,4,29,18
361,Drafted,4,29,18
362,Drafted,4,30,18
363,Drafted,4,30,18
364,Drafted,4,30,18
365,Drafted,4,19,18
366,Drafted,7,18,18
367,Drafted,7,16,18
368,Drafted,4,29,18
369,Drafted,4,25,18
370,Drafted,5,1,18
371,Drafted,8,22,18
372,Drafted,4,29,18
373,Drafted,4,2,18
374,Drafted,6,22,18
375,Drafted,6,18,18
376,Drafted,7,18,18
377,Drafted,7,18,18
378,Drafted,4,30,18
379,Drafted,5,3,18
380,Drafted,7,17,18
381,Drafted,7,16,18
382,Drafted,7,17,18
383,Drafted,6,19,18
384,Drafted,4,27,18
385,Drafted,7,17,18
386,Drafted,7,17,18
387,Drafted,6,21,18
388,Drafted,6,20,18
389,Drafted,4,30,18
390,Drafted,7,18,18
391,Drafted,6,20,18
392,Drafted,6,21,18
393,Drafted,6,22,18
394,Drafted,7,17,18
395,Drafted,7,15,18
396,Drafted,7,16,18
397,Drafted,7,17,18
398,Drafted,7,17,18
399,Drafted,7,16,18
400,Drafted,7,29,18
401,Drafted,7,16,18
402,Drafted,7,6,18
403,Drafted,4,29,18
404,Drafted,4,29,18
405,Drafted,6,20,18
406,Drafted,6,20,18
407,Drafted,6,20,18
408,Drafted,6,18,18
409,Drafted,6,20,18
410,Drafted,6,20,18
411,Drafted,6,20,18
412,Drafted,6,21,18
413,Drafted,6,21,18
414,Drafted,4,29,18
415,Drafted,7,16,18
416,Drafted,7,17,18
417,Drafted,4,26,18
418,Drafted,6,22,18
419,Drafted,6,21,18
420,Drafted,6,27,18
421,Drafted,7,15,18
422,Drafted,7,21,18
423,Drafted,7,31,18
424,Drafted,7,18,18
425,Drafted,7,19,18
426,Drafted,7,19,18
427,Drafted,8,6,18
428,Drafted,7,17,18
429,Drafted,5,2,18
430,Drafted,7,15,18
431,Drafted,7,18,18
432,Drafted,4,27,18
433,Drafted,7,16,18
434,Drafted,7,15,18
435,Drafted,7,17,18
436,Drafted,7,17,18
437,Drafted,7,17,18
438,Drafted,7,15,18
439,Drafted,7,16,18
440,Drafted,7,16,18
441,Drafted,7,17,18
442,Drafted,6,20,18
443,Drafted,7,18,18
444,Drafted,3,28,18
445,Drafted,3,29,18
446,Drafted,4,27,18
447,Drafted,4,27,18
448,Drafted,4,27,18
449,Drafted,4,30,18
450,Drafted,7,19,18
451,Drafted,7,19,18
452,Drafted,6,12,18
453,Drafted,7,15,18
454,Drafted,7,18,18
455,Drafted,7,19,18
456,Drafted,7,27,18
457,Drafted,7,17,18
458,Drafted,7,18,18
459,Drafted,7,15,18
460,Drafted,6,19,18
461,Drafted,7,17,18
462,Drafted,7,18,18
463,Drafted,7,18,18
464,Drafted,7,18,18
465,Drafted,7,18,18
466,Drafted,7,18,18
467,Drafted,7,18,18
468,Drafted,7,19,18
469,Drafted,4,30,18
470,Drafted,7,18,18
471,Drafted,7,17,18
472,Drafted,7,18,18
473,Drafted,7,18,18
