id,type,month,date,year
1,Regular Army,10,09,1918
2,Regular Army,09,30,1919
3,Regular Army,06,04,1920
4,Regular Army,07,15,1919
5,Regular Army,07,08,1919
6,Regular Army,06,11,1919
7,Regular Army,06,11,1919
8,Regular Army,12,30,1918
9,Volunteered,03,14,1919
10,Volunteered,10,24,1919
11,Volunteered,07,20,1919
12,Volunteered,07,24,1919
13,Drafted,06,05,1919
14,Volunteered,08,28,1919
15,Volunteered,10,14,1919
16,Drafted,03,06,1919
17,Drafted,05,24,1919
18,Volunteered,03,03,1919
19,Drafted,01,31,1918
20,Drafted,12,05,1918
21,Drafted,02,28,1919
22,Drafted,02,28,1919
23,Drafted,12,30,1918
24,Drafted,12,30,1918
25,Drafted,03,05,1919
26,Drafted,01,17,1919
27,Drafted,08,12,1919
28,Drafted,02,18,1919
29,Drafted,05,06,1919
30,Drafted,11,02,1919
31,Drafted,11,01,1918
32,Drafted,06,22,1918
33,Drafted,09,28,1918
34,Drafted,03,11,1919
35,Drafted,03,12,1919
36,Drafted,03,12,1919
37,Drafted,04,04,1919
38,Drafted,03,20,1919
39,Drafted,03,20,1919
40,Drafted,03,20,1919
41,Drafted--Apprehended by Civil Authorities,02,25,1919
42,Drafted,06,23,1919
43,Drafted,06,24,1919
44,Drafted,06,23,1919
45,Drafted,06,25,1919
46,Drafted,06,25,1919
47,Drafted,07,28,1919
48,Drafted,06,29,1919
49,Drafted,07,11,1919
50,Drafted,07,11,1919
51,Drafted,07,08,1919
52,Drafted,07,07,1919
53,Drafted,07,08,1919
54,Drafted,07,07,1919
55,Drafted,07,22,1919
56,Drafted,01,27,1919
57,Drafted,07,28,1919
58,Drafted,09,03,1919
59,Drafted,05,24,1918
60,Drafted,03,12,1919
61,Drafted,04,09,1919
62,Drafted,04,25,1919
63,Drafted,05,07,1919
64,Drafted,07,17,1919
65,Drafted,07,21,1919
66,Drafted,08,29,1919
67,Drafted,06,23,1919
68,Drafted,06,17,1919
69,Drafted,11,26,1919
70,Drafted,07,10,1919
71,Drafted,07,15,1919
72,Drafted,07,12,1919
73,Drafted,07,23,1919
74,Drafted,07,23,1919
75,Drafted,07,28,1919
76,Drafted,08,28,1919
77,Drafted,11,06,1918
78,Drafted,06,21,1918
79,Drafted,03,13,1919
80,Drafted,07,23,1919
81,Drafted,07,22,1919
82,Drafted,01,14,1919
83,Drafted,01,21,1919
84,Drafted,08,07,1918
85,Drafted,06,25,1918
86,Drafted,05,09,1919
87,Drafted,07,21,1919
88,Drafted,06,04,1919
89,Drafted,06,24,1919
90,Drafted,06,25,1919
91,Drafted,07,07,1919
92,Drafted,07,21,1919
93,Drafted,08,28,1919
94,Drafted,01,21,1919
95,Drafted,01,25,1919
96,Drafted,02,11,1919
97,Drafted,06,25,1918
98,Drafted,06,26,1918
99,Drafted,03,11,1919
100,Drafted,03,13,1919
101,Drafted,07,17,1919
102,Drafted,07,18,1919
